FECHA	TMAX	TMIN	NOMBRE
26/10/2023	10.0	1.6	RIO GRANDE B.A.
26/10/2023	25.5	18.3	RIVADAVIA
26/10/2023	24.3	11.4	ROSARIO AERO
26/10/2023	24.4	13.8	SALTA AERO
26/10/2023	24.6	6.0	SAN ANTONIO OESTE AERO
26/10/2023	24.2	9.5	SAN FERNANDO AERO
26/10/2023	30.5	12.2	SAN JUAN AERO
26/10/2023	16.5	3.9	SAN JULIAN AERO
26/10/2023	29.8	15.0	SAN LUIS AERO
26/10/2023	29.6	13.2	SAN MARTIN (MZA)
26/10/2023	30.1	9.6	SAN RAFAEL AERO
26/10/2023	13.5	2.2	SANTA CRUZ AERO
26/10/2023	26.7	10.9	SANTA ROSA AERO
26/10/2023	26.6		SANTA ROSA DE CONLARA AERO
26/10/2023	24.7	16.8	SANTIAGO DEL ESTERO AERO
26/10/2023	25.6	13.2	SAUCE VIEJO AERO
26/10/2023	27.2	13.5	SUNCHALES AERO
26/10/2023	24.5	5.0	TANDIL AERO
26/10/2023		17.7	TARTAGAL AERO
26/10/2023	24.7	17.2	TERMAS DE RIO HONDO AERO
26/10/2023	31.0	14.5	TINOGASTA
26/10/2023	21.9	9.0	TRELEW AERO
26/10/2023	27.4	10.6	TRENQUE LAUQUEN
26/10/2023	26.7	10.4	TRES ARROYOS
26/10/2023	24.0	16.0	TUCUMAN AERO
26/10/2023	5.4	1.3	USHUAIA AERO
26/10/2023	24.0	8.0	USPALLATA
26/10/2023	24.5	10.5	VENADO TUERTO AERO
26/10/2023	28.0	11.4	VICTORICA
26/10/2023	26.1	11.4	VIEDMA AERO
26/10/2023	26.5	16.6	VILLA DE MARIA DEL RIO SECO
26/10/2023	27.1	16.4	VILLA DOLORES AERO
26/10/2023	26.0	4.7	VILLA GESELL AERO
26/10/2023	24.8	10.4	VILLA REYNOLDS AERO
25/10/2023	18.7	10.5	AEROPARQUE AERO
25/10/2023	21.0	3.1	AZUL AERO
25/10/2023	26.1	3.6	BAHIA BLANCA AERO
25/10/2023	20.2	-0.6	BARILOCHE AERO
25/10/2023	-7.0	-12.3	BASE BELGRANO II
25/10/2023	-0.1	-7.5	BASE CARLINI (EX JUBANY)
25/10/2023	-8.4	-12.2	BASE ESPERANZA
25/10/2023	-12.6	-14.2	BASE MARAMBIO
25/10/2023	2.2	-2.0	BASE ORCADAS
25/10/2023	-4.7	-12.8	BASE SAN MARTIN
25/10/2023	19.8	2.8	BENITO JUAREZ AERO
25/10/2023	25.4	17.2	BERNARDO DE IRIGOYEN AERO
25/10/2023	22.9	5.0	BOLIVAR AERO
25/10/2023	23.2	9.3	BUENOS AIRES OBSERVATORIO
25/10/2023	21.2	7.6	CAMPO DE MAYO AERO
25/10/2023	25.2	15.7	CATAMARCA AERO
25/10/2023	23.3	15.8	CERES AERO
25/10/2023	20.6	15.1	CHAMICAL AERO
25/10/2023	23.8	-1.4	CHAPELCO AERO
25/10/2023	23.0	17.0	CHEPES
25/10/2023	24.0	14.8	CHILECITO AERO
25/10/2023	27.0	7.6	CIPOLLETTI
25/10/2023	24.7	10.7	COMODORO RIVADAVIA AERO
25/10/2023	23.5	13.5	CONCORDIA AERO
25/10/2023	21.4	14.3	CORDOBA AERO
25/10/2023	21.4	15.2	CORDOBA OBSERVATORIO
25/10/2023	21.6	3.5	CORONEL SUAREZ AERO
25/10/2023	25.0	17.4	CORRIENTES AERO
25/10/2023		3.6	DOLORES AERO
25/10/2023	21.5	0.3	EL BOLSON AERO
25/10/2023	18.4	7.0	EL CALAFATE AERO
25/10/2023	21.1	8.7	EL PALOMAR AERO
25/10/2023		14.5	ESCUELA DE AVIACION MILITAR AERO
25/10/2023	17.7	1.6	ESQUEL AERO
25/10/2023	21.0	6.0	EZEIZA AERO
25/10/2023	27.7	19.8	FORMOSA AERO
25/10/2023	24.2	11.2	GENERAL PICO AERO
25/10/2023	16.0	8.0	GOBERNADOR GREGORES AERO
